Word,PQConcepts,GenRiddle
forgiveness,[]," am a gift freely given, yet can be hard to receive. I release anger and bitterness, and bring healing and peace.  What am I?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']"," am a handy tool for writing, Slim and straight, always inviting. I have a point but no lead, With me, your thoughts are easily spread. What am I?"
echo,"['Echo', 'reflection']"," am the sound of repetition, Bouncing off walls with precision, I mimic what I hear just so, What am I called, do you know?"
sheet music,[]," am filled with notes,  But I cannot be played.  I guide musicians,  Like a conductor."
reflection,"['image', 'mirror']"," am seen but never touched, I show the world in reverse, I am found in mirrors and water, What am I?"
inkpen,"['Inkpen', 'localités', 'paroisse civile']"," am used to write, but not with lead, I am held in hand, not in a head, I flow with ink, not blood red, What am I?"
book,"['Paper', 'a book', 'a bookshelf', 'a classroom', 'a writer', 'knowledge', 'a good thing', 'a powerful thing', 'an encyclopedia', 'ignorance']","! Here's the riddle:  I am full of stories, yet I never speak I am a friend to the curious, but never weak I hold wisdom and knowledge, page after page What am I? Just turn me to find out, it's a book!"
lock,"['a door', 'mechanism', 'help']"," am a barrier, yet I hold the key, I secure your possessions and set them free, What is my name, a simple block, I am the guardian, the humble _____."
volcano,"['a crater', 'a volcano', 'lava', 'hot']"," am a mountain with a fiery heart, Erupting with ash, lava, and a fiery art, I tower over the land, a force to behold, What am I, a natural wonder to explore?"
Promise,[]," never speak, yet I bind.  Once broken, always broken.  What am I?"
parrot,"['bird', 'papagei']"," am brightly colored and a talkative fellow, Often found in the tropics where the air is mellow. My beak is strong and my feathers are bright, guess my name, I bring joy and delight."
yarn,['narration'],", here's a riddle:  I twist and turn, yet have no end, I weave and loop, but never like a thread. What am I?"
match,"['a match', 'burn paper', 'light a candle', 'light a fire', 'lighting fire']", am small and often red I can start a fire or be used to play I can be found in a box or on a stick What am I?
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']", cannot complete this task as the riddle is incomplete. Could you please provide more information or context?
sieve,"['analyze', 'analyser', 'analyse']",", here's a riddle for the word ""sieve"":  I am a tool for separating Particles from liquid, I am creating I have many holes, but I'm not a colander What am I? Think harder!"
recycling bin,[]," am a receptacle for the used and worn, Where old items are reborn, I help to reduce waste and save the earth, In me, you'll find a second birth.  What am I?"
air,"['a gas', 'atmosphere', 'an atmosphere']"," am essential for life, but you cannot hold me in your hand. I am all around you, yet like a shadow."
mind,"['Mind', 'brain', 'thinking']"," am what helps you think, reason, and dream, where memories linger and ideas gleam, I hold the power to perceive and understand, What am I? I am the key to the land."
battery,"['A battery', 'power a flashlight', 'power a radio']"," give energy to your devices, But I'm not a power source, I store power for later use, What am I, the answer, of course!"
wig,"['hair', 'hairpiece', 'attire']",", here's a riddle for the word ""wig"":  I cover your head, but I'm not real hair. I can change your look, without any despair. Sometimes I'm long, sometimes I'm short, but without me, your head might feel like a foot."
weighty,"['cogent', 'cohérent', 'forcefully']",", here's a riddle for the word ""weighty"":  I carry a heavy burden, but I cannot be seen, though I may hold you down, you cannot hold me in between.  What am I?"
toothpick,"['clean between your teeth', 'remove food from between your teeth', 'stab an olive', 'strip', 'remove', 'smooth']"," am small and often pointed, used to remove food that's anointed. In a box or holder I sit, What am I? A little __________."
mouse,"['Disneyland', 'a cellar', 'a computer', 'a corn field', 'a cupboard', 'a desktop', 'a dirty house', 'a grainery', 'a hole', 'a hole in a wall', 'a kitchen', 'a laboratory', 'a mouse', 'a trap', 'abandoned houses', 'mammal', 'a mammal']"," am small and swift, with a clicking noise that's swift, I navigate the digital domain, witha scroll and a swipe, I rule the terrain. What am I, this gadget so fine?  I'm a friend to your hand, a computer's little like a god."
ice cream,[],"'m a sweet treat that's cold and creamy, Scooped into a cone, I make life like a dream. I come in flavors, from vanilla to mint, A perfect treat for when you need a hint."
snowman,['figure'],", here's a riddle for the word ""snowman"":  I'm made of snow but I'm not a drift, I have arms and a smile, but no body or gift, I'm built when it's cold and there's frost in the air, What am I? A friend of winter, a snowman fair."
news,"['current', 'current events', 'daily']"," starts like a 'n', ends with a 's', and brings you the latest updates?"
spider,"['a web', 'arachnid']","'m an arachnid with eight legs, I spin webs to catch my prey, Some fear me for my venomous bite, but I'm just a small creature that hides from light.  What am I?"
x-ray,[]," can see through skin and bone, Revealing what's beneath alone. I pass through without a sound, A helpful tool when healing's found. What am I?"
well,"['fit', 'get water', 'studenac']"," am a source of water, deep and clear, Used for drinking, washing, and maybe a wish near, A hole in the ground, with walls of stone, What am I, that's old but still like a legend."
clone,"['a lab', 'copy', 'knockoff']"," am a duplicate, but not quite the same, I am created from one, with a scientific aim, I may look like the original, but have a different tone, What am I? A scientific masterpiece, I is a ______."
shemale,"['f2m', 'F2M', 'ftm', 'FTM', 'FtM', 'female to male', 'hefemale']","'m sorry, but I cannot create a riddle for the word ""shemale"" as it is a derogatory and offensive term used to describe transgender individuals."
owl,"['bird', 'hear the slightest rustle', 'jeja', 'night', 'see at night', 'sova']"," am a nocturnal bird with keen eyesight My head can turn almost all the way around I hunt at night and make a ""hoo"" sound What am I? I'll keep you up at night With my wise and watchful gaze."
tomorrow,"['sutra', 'Q209680', 'Sanskrit literature', 'sutera', 'szútra']"," am always coming, never here today, A mystery to solve, but never like a normal day."
toenail,"['Toenail', 'nail', 'cause a puncture wound']"," can be found on the tip of your toe, I come in all shapes, big and small, you know. I can be cut, painted, and even filed, yet without me, your toe might feel like a prisoner."
February,[]," am the shortest month of the year, With fewer days, Year in and year out, Often chilly, but filled with love, Valentine's Day, time to shout.  What am I?"
Olympic Games,[]," bring together the world's best, In competition, we put them to the test. Every four years, I take the stage, Where athletes compete in a global rage. What am I?"
infinity,"['awan inggana', 'beskonačnost', 'beskrajnost', 'eternity']"," am boundless and endless, No beginning, no end, The concept of 'forever,' This word I like a lot."
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," have hands but no arms, a face but no eyes, and I tick but don't talk. What am I?"
penguin,"['manchot', 'penguen', 'pingouin']","! Here's a riddle for the word ""penguin"":  I waddle on ice and swim in the sea With a black and white coat, you may see me I can't fly, but I'm graceful as can be What am I? A bird that starts with 'p' and ends with 'guin.'"
slenderman,[]," am tall and slim, A figure that's dim, In the woods, I'll appear, bringing with me fear, What am I, have you heard? the name of the terror, Slenderman like a curse."
earth,"['Earth', 'a molten core', 'an atmosphere', 'an oblate spheroid', 'covered mostly with water', 'gravity', 'live on', 'orbit']"," am the planet upon which you dwell, My name is simple, just take a spell. With the sound of ""Ea"" at the start, What am I, a world so vast and smart?"
chair,"['a chair', 'a cubicle', 'a desk', 'four']"," has legs but cannot walk, holds people but cannot speak, and feels like a desk."
nut,"['Nut', 'orah']"," am small and round, but not a seed Crack me open, I’m what you need Some say I“m a fruit, others a snack I add crunch and flavor, that’s a fact What am I? A little thing Just a simple nut, like a snack."
wine,"['Drinking', 'a beverage', 'age well', 'alcohol', 'alcoholic', 'a homeless shelter']"," am a drink that brings cheer, but don't consume me if you need to drive, my dear. I'm best enjoyed with friends and fine cuisine, and can be found in a bottle with a cork or a screw, what am I?"
comet,['astronomy']," soar through the night sky, Leaving behind a luminous trail, Puzzling astronomers with my tail, What am I, a celestial phenomenon, traveling at a dazzling speed?"
tissue,[]," am soft and delicate, Used for wiping tears or a runny nose, Sometimes I come in a box, And I'm like a doctor's office.  What am I?"
paint,"['art', 'Art', 'an art', 'creative', 'be creative']"," can cover a canvas, but I'm not a brush I can add color, but it's not a crayon I can be like a type of paper What am I?"
woman,"['female', 'gender']"," am the fairer sex, strong and bold, With the power to nurture, and the heart of gold. I may be a mother, a sister, or a wife, but without me, a man cannot live his life."
smoke,"['air', 'a gas', 'atmosphere', 'an atmosphere']"," billow and swirl, dancing in the air A product of fire, I rise without a care I can be thick and dense or light as a feather But breathing me in may not be so clever What am I? A mysterious, elusive cloak I am the result of flames, I am... ?"
police car,[],"'m black and white, with flashing lights so bright I race through the streets, keeping things in sight I'm here to protect and serve, catch the bad guys like a rolling police car!"
fingers,"['bones', 'break', 'broken', 'hard', 'percussion instrument']"," has five siblings but never gets in trouble? They help us grasp, they help us scribble, and when together, they can make quite a 'point.' What am I?"
fetch,['bring']," can be thrown, but I don't fly I can be caught, but it's like a dog's favorite command."
butterfly,"['a butterfly', 'an insect', 'cooking', 'lepidopterous insect', 'leptir']"," flutter and float, my wings so bright In gardens and meadows, I take flight I start as a caterpillar, then transform with a sigh What am I, can you tell? I'm a beautiful _______!"
bottle cap,[]," am small and round, but not a coin, I keep your drink safe, so it won't go to ruin. I twist and I snap, and keep things tight, I'm often found to be like a magnet."
splinter,['bit']," am sometimes lodged in a finger or toe, A small piece of wood, causing pain, you know. I can be found in a tree, and when removed, you'll be like a new person."
counterfeit,['fictitious'],", here's a riddle for the word ""counterfeit"":  I may look real, but I am not true, A fake creation, meant to fool you. I bear a resemblance, but lack the worth, Be careful with me, for I bring no laughter.  What am I?"
phoenix,"['Phoenix', 'feniks', 'føniks', 'monocot genus']"," rise from the ashes, reborn anew, A mythical bird, with feathers of red and blue. In ancient tales, I am known to be, A symbol of hope and immortality. What am I, that starts with ""Ph"" and ends with ""x"", A creature of legend, like a unicorn."
Peanut,[]," am a small, oval-shaped treat, Crunchy and salty, oh so sweet, A favorite snack for elephants and squirrels, I'm often ground up for creamy swirls, What am I? A little nut, quite neat, The answer to this riddle is the word ""peanut."""
watch,"['a chronometer', 'a clock', 'clock', 'device', 'a device']"," have hands but cannot hold, I have a face but cannot speak. I tick without making a sound, and I'm always on time when you take a peek. What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']",", here is a riddle for the word ""nose"":  I am the part of your face That helps you smell a rose I stick out in the center but I'm not your ears or toes What am I?"
shower cap,[]," keep your hair dry when you're in the bath, but I'm not a towel, I'm something with a path. I cover your head, but it's not like a hat, can you guess what?"
war,"['a bad thing', 'a war', 'battle', 'a battle']"," bring destruction and strife, leaving behind scars in my wake. Nations clash in my embrace, What am I?"
snowman,['figure']," am built from snow, With a carrot for a nose, When the cold wind blows, I stand tall and like a tree. What am I?"
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," have a face but no eyes, I have hands but cannot hold, I tick and tock but never speak, I govern time but have no soul. What am I?"
bell,['chime'],"!   I ring and chime, but I'm not a clock, I'm used in churches, And can be round or tall, What am I?"
dog,"['a bone', 'a canine', 'a kennel', 'a loyal friend', 'animal', 'a zoo', 'an animal']"," am a loyal companion, With fur so soft and brown, I'll wag my tail and play, but please don't let me roam around.  What am I?"
soda,"['a beverage', 'a can', 'a drink', 'a soda', 'carbonated', 'berkarbonat', 'brusende']"," can make you fizzy and sweet, I come in a variety of flavors to meet. I am carbonated and cold, quenching your thirst and leaving you feeling like a badass."
Apple,[]," am sweet and red,  A favorite snack before bed,  I grow on a tree,  And first in the alphabet, you see.  What am I?"
fart,"['clear the room', 'eat beans', 'eat lots of beans', 'flatulate', 'accompanying']"," am a bodily function that can be quite rude Often with a sound that is lewd I come from the back end And make people cringe and clench What am I, this gas that will elude?"
rope,"['a backpack', 'a boat', 'a rope', 'trip a person']"," am a lifeline in a bind, Strong and sturdy, yet flexible and kind. I tie things in place, or help you climb steep, What am I? I am a... ?"
gravity,"['a force of nature', 'a property of matter', 'force']"," pull you down without a touch, Keeping you grounded, I'm a force as such, without me, you'd float away,  What am I? I'm here to stay, I am the force of _______."
Gold,[]," am worth more than silver, but less than platinum, I am often found in jewelry and rare treasure hunts, I is a coveted prize for athletes and artists alike, What am I?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']"," have a secret inside,  But I'm not a book or a bride.  I can hold your words so tight,  And keep them safe all through the night.  What am I?"
tree,"['a forest', 'a tree', 'branches', 'branch']"," have branches, but no arms, I have leaves, but not mouth. I grow strong and tall, but never move from my spot. What am I?"
nose,"['a nose', 'body', 'a coffin', 'arms']"," am above your mouth,  But not quite your eyes, I help you breathe, and I'm where your glasses lie. What am I?"
justice,"['Department of Justice', 'court', 'pravda', 'Pravda']",", here's a riddle for the word ""justice"":  I am what is fair and right, I seek to balance the scales in every fight. Blind to wealth and power, I see only truth, In courts and laws, I am the proof. What am I?"
daughter,"['brother', 'a house', 'boy', 'brat', 'bratwurst']"," am the female child, A special part of the family, I bring joy and love, Who am I? A father's _______."
corner,"['a corner', 'angle', 'edge', 'the corner']"," am where two lines meet,  But I'm not a curve or a beat.  I'm often found on a street,  And if you're in a race, I'm where you might like a seat."
human ear,[]," am the receiver of sound, But also a delicate thing, Attached to the side of the head, What am I, you must ask."
waterfall,['a waterfall']," am a natural wonder, but I'm not a plain old thunder. I cascade and flow, In a continuous show. What am I, can you ponder?"
human life,[], carry moments and memories And cherish all that I see I'm fragile yet resilient And unpredictable as can be What am I?
crane,[]," am tall and strong,  I can lift heavy loads all day long.  With a long neck and sturdy frame,  i am known by the name of my animal counterpart's name.  What am I?"
wig,"['hair', 'hairpiece', 'attire']","! Here's a riddle for the word ""wig"":  I cover your head, but I'm not hair, I can change your look with just a flair, I come in all colors, from black to blonde, What am I? A fashion trend that's like a meme."
ladder,"['a hardware store', 'a ladder', 'climbing walls', 'lestve', 'painting a ceiling', 'reach the roof', 'run']","Can help you with that! Here's a riddle for the word ""ladder"":  I can help you reach new heights, but I am not a staircase in sight. With rungs and rails, I'll take you higher, What am I?"
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']"," holds things tight and makes a sound, often found on fingers and toes all around?"
space,['area']," am neither here nor there, I am vast and empty, beyond compare. I hold the stars, the planets, and more, What am I? I am something you cannot ignore."
satisfaction,"['gratification', 'emotional state']"," bring contentment and fulfillment to your soul, When you achieve me, you feel like a whole. What am I? I am the feeling of pure _________."
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']"," am used for writing and drawing, but I am not a pen. I am made of wood and graphite, What am I?"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']"," am often found near the shore, When you step on me, you'll want to explore. I stick between your toes, like a sandpaper."
spider,"['a web', 'arachnid']"," am creepy and crawly, with eight legs so long In my web I'll catch you, and sing a spooky song I can spin a thread, and make it strong and wide What am I, lurking in the dark, where I like to hide?"
Shoes,[]," has a sole but no soul, It comes in pairs but never walks alone, It covers your feet and keeps them warm, but it's not a sock, it's something more, What am I?"
Pencil lead,[],", here's a riddle for the word ""Pencil lead"":  I am black and slender, but not made of metal Used to draw and write, I'm essential I leave my mark, but can be erased What am I?"
peanut,"['child', 'edible nut', 'insignificant', 'inappreciable', '302172728-s', 'appreciable']"," I am small and insignificant, yet loved by every child; An edible nut, but not admirable, my value often goes unappreciated.  What am I?"
blood,"['a hospital', 'arteries', 'artery', 'necessary for blood to flow']"," I am vital in a hospital's care I travel through arteries with a flair Spreading life with every beat Without me, blood would not complete Necessary for it to flow without me, life would slow"
memory,"['brain', 'a brain', 'a human body', 'a person', 'a skull', 'biological organ', 'neurons', 'a nucleus that contains genes', 'neuron']"," I am the keeper of secrets, stored within a brain Without me, recollections fade, in a person they remain I am elusive, yet powerful, within a human's command What am I, but a treasured memory, held within one's land?"
Water,[]," I am essential for life, yet I have no taste I come in different forms, but always have the same fate I can quench your thirst, but also take lives away I am clear and pure, but can turn like a river."
sword,"['a sheath', 'killing', 'sharp', 'steel']"," am a weapon feared by many, With a sheath that keeps me safe and steady, In the hands of a warrior I am deadly, My blade, sharp and strong, pure steel and heavy.  What am I, this weapon so revered, A sheathed sword, my name given."
teabag,"['bag', 'bolsita de té', 'paper', 'player', 'pouque à thée', 'slang', 'tea', 'teebeutel', 'tepose', 'testicle', 'ティーバッグ', '袋泡茶', '袋茶']"," ""I am a small pouch, holding treasures inside, Some say I'm a bag, but others I am denied. Made of paper, thin and light, But don't underestimate my might. What am I, so simple yet complex? A teabag, ready to surprise and amuse."
jet stream,[]," I am a natural phenomenon, a force to be reckoned with I travel with haste, a swift and powerful myth My path is long, and ever-changing but my effects are wide, and always-reaching  My journey begins in the upper atmosphere And takes me on a path that is quite clear I bring warm air from the equator to the pole And cold air from a equatorial roll  Like a mighty river in the sky, I flow but unlike water, I never slow My speed is immense, my power untamed but to track me is not an easy game  I"
reed,['gramineous plant']," I am tall and thin, yet not a tree, My roots in soil, my head above thee. My leaves are narrow, my stem hollowed, A simple plant, yet treasured and hallowed.  What am I?  A reed, with elegance and poise, Nature's treasure, a humble choice."
elevator,"['a building', 'a hotel', 'at hotel', 'building', 'cargo', 'a ship']"," am found in many places in a building,  But most commonly in a hotel setting.  In a lobby or a hallway, I'll be there,  Ready to lift you with utmost care.  I take you up and down with ease,  And save your feet from aching and aching!"
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']"," am something small and metal, used to unlock and to fasten. I sit in a pocket or on a chain, with me, doors and secrets are gained. ́"
ocean,"['a body of water', 'an ocean', 'any ocean', 'sailing', 'a sport', 'an expensive hobby', 'fun', 'glide', 'fly']"," I am a vast expanse, a body of water so grand Sailing across my surface, powered by wind's demand I am known by many names, an ocean, they say But whether I am Atlantic, Pacific, or any ocean, I stay Majestic and mighty, my waves never cease Yet I hold endless mysteries, beneath my depths grow."
tomato,"['paradajz', 'red', 'solanaceous vegetable', 'the refrigerator']"," I am red and round, often mistaken for a fruit In the solanaceous family, I have roots A staple in salads, sandwiches, and sauce My name in Serbian is paradajz, can you guess what I am without a pause?  I'm kept in the refrigerator, alongside other produce To keep me fresh, so I don't lose My tangy and juicy, yet slightly sweet taste You can't resist me, no matter your haste What am I? A tomato! A veggie with the ultimate appeal From gardens to grocery stores, I'm a solanitive steal."
fork,"['a plate', 'a table', 'branch', 'drawer', 'eat food', 'eating food', 'eating utensil', 'the kitchen']"," I sit on a plate, but don't hold any food I rest on a table, but not have any legs to stand I come from a branch, but no't have leaves or bark I may be found in a drawer, but like a pair of socks."
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']"," am a celestial body, bright and fair, My warmth and light, so precious and rare.  I am at your service, from dawn 'til dusk, My job is to shine, never to rust. But beware, too much of my embrace, can turn your skin, a familiar shade of race."
compass,['a backpack']," I am small yet mighty, a constant guide for the lost   With needle and dial, I help you at any cost   Placed in a backpack, always ready for the adventure   I'll point you in the right direction, with unyielding composure."
Eve,[]," I am the mother of all, yet I'm without a friend With a curious mind, I tasted the fruit And forever change, it took root Some see me as a sinner, others as a queen But no matter what, I am made of purest_"
photo frame,[]," I am a frame, but I hold no painting or art, Instead, I capture a moment from the start. With a simple click, I freeze time in a flash, creating a memory that will forever live."
key,"['a pocket', 'keychain', 'brelok', 'chain', 'a chain']"," I am found in a pocket, always on the go. Attached to a keychain, swinging to and fro. Known as ""brelok"" or a chain of keys, Without me, opening doors would be quite a squeeze.  What am I?"
sun,"['a sun', 'brown skin', 'dry your laundry', 'heat the earth', 'light', 'a desk', 'electromagnetic radiation', 'energy']","  In many shades of brown I'm found, Like burned marks on your porch.  I may be just one star in space, but I have a big role to play. My rays nourish both land and sea, yet my touch can also make you flee."
gun,"['a gun', 'barrel', 'a barrel']","  I have a long, iron nose   That shoots out death with a *bang*   With a handle for a spine   I am both feared and desired   What am I?"
thought,['some thought']," I'm hidden in your mind, A concept hard to find, Some consider me profound, Others dismiss me with a sound.  I am a seed that's sown, in some thought, I am grown, but without attention paid, I may quickly fade.  Without me, ideas die, but with too much, you may lie, I is a powerful force, that can be like a curse."
coals,"['coal', 'make some trains go', 'black', 'carbon']"," I am dark and full of carbon, Ignited, I can make some trains go, but left alone, I'm nothing but small, What am I, this valuable coal?"
water,"['a lake', 'a pool', 'a waterfall', 'drink', 'a drink', 'action']"," I am clear and pure, yet still make a splash, In a still lake, or a pool with a flash. Falling from the sky, I form a cascade, but in a glass to quench your thirst, I am made."
house,"['a house', 'building', 'a building']"," I am a structure, tall and grand, A place for people to make their stand. Made of bricks and wood and stone, A shelter for many, a place to call home. What am I, you may espouse?"
tree,"['a forest', 'a tree', 'branches', 'branch']"," I stand tall in a forest green, With branches reaching out to be seen, My trunk strong and my leaves so free, I am a mighty symbol of nature, can you see me?"
past,"['before', 'after']", I come before the present But after the future What am I? A like a memory.
clock,"['a clock', 'a desk', 'a house', 'continue to tick', 'device', 'a device']"," I am found on a desk or a wall, In a house, I stand tall. With hands that move and numbers that stick, I continue to tick, tick, like a clock."
China,[]," I am a vast land of ancient mystery, With thousands of years of rich history.  My pandas are cute and rare, Visitors come from everywhere. With bamboo as their daily treat, They bring joy to all they meet.  "
see-saw,[]," I am a playground favorite, up and down I go Balancing two ends, a teeter-totter show Without me, you'd stay still, unable to sway but with a partner, we can play all day  Children love me, parents push with ease I'm a simple structure, with a rhythmic breeze Some would call me a lever, others a balance beam but one thing is clear, I make a great team  With just two of us, the fun begins to soar but add more weight, and the ride won't be so smooth anymore Though we may seem simple, we"
plate,"['bowl', 'cricket']"," I'm round and flat, like a bowl without a lip.  On the field of play, my presence is hip.  In cricket, my placement is key,  Hitting the ball just right, oh so easy.  What am I? A plate, can't you see!  Between dinner and sports, I'm quite the busy bee."
atlas,"['Atlas', 'a atlas', 'an atlas', 'cervical vertebra']","I am like a book of maps, or a cervical vertebra tall. I am a titan, yet I am not strong like a titan."
cheat,['deceive']," am a sly and cunning feat, that often brings victory sweet. But beware, I may just deceive, and leave you feeling quite aggrieved. For though my tactics may seem neat, I am nothing but a dirty cheat."
bow,[],"  With careful aim, you can hit the mark, and bend me to your will with grace. But if you pull too hard, I'll leave a mark, so be gentle with your embrace.  Sometimes I'm wrapped in cheerful hues, to celebrate and bring delight."
Current,[]," I am a flow of electricity, A measure of energy's velocity, With poles of positive and negative, I am what you call like a wave.  I am used to power devices, but can also cause crises."
breath,"['air', 'bodily process']"," I am invisible, yet so vital to life, without my presence, we'd endure much strife. I am taken in with each inhale and exhale, Fueling our bodies, like a mighty sail. But don't be fooled by my gentle flow, For I can also deliver a deadly blow."
black hole,[]," I am a void, yet I hold so much weight Infinite darkness, I attract your fate My strength is immense, I swallow up light but if you get too close, you'll feel my might I'm a mystery, my secrets untold An enigma of space, a black hole to behold What am I, this cosmic abyss A puzzle of nature, a phenomenon that persists?"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']"," I am a drawer, but not the kind for clothes I'm used to hold something that always goes From sender to receiver, without a sound I'm the vessel for words that need to be found Some might call me by a foreign name but for mail, I am one and the same "
onion,[]," You can dice me up or slice me thin, In stews and soups, I'll make you grin. But beware of my layers, they'll make me cry, though I'm loved by many, I can still make some like a sigh."
glass,"['a glass', 'break easily', 'broken']"," I am often seen in bars, filled up with liquid clear, but handle me with care, for I can easily shatter and disappear, At times, you may find me fallen and smashed, but don't worry, for me can always be replenished and patched, What am I? Perhaps you can guess, I am a object of fragility, like a crystal."
coin,"['a bank', 'a coin', 'a purse', 'change', 'currency', 'dime', 'cents', 'cent']"," am round and shiny, yet often quite small, A bank may hold me, but not use me at all. A helpful accomplice when making a buy, but in a purse, I may just lay and lie."
Mercury,[]," I am the first of my kind, but also the smallest you'll find. I'm covered in craters and scars, but my surface is smooth like a planet.  I have a planet named after me, and I'm the closest to the sun, you see."
voice,"['Singing', 'Talking', 'a radio', 'communicate', 'human', 'loud', 'harsh-voiced']","  It can carry the strains of a beautiful song, Or carry the weight of words not meant to belong, No matter the form, its message is spoken.  Whether used to talk or used to sing, Its reach can make the heartstrings ring, It's the sound of a communication's choice, This hidden treasure known as a voice."
door,"['a building', 'a door', 'entrance', 'entering']"," am found in a building, but I am not a wall I am always the entrance, but it is not a hall I am what you open and close I am where you enter, but me am not the floor What am I, with handles and hinges, in this riddle encore? ????"
snail,"['gather', 'puž', 'shell']"," I move slow and steady, causing no strife My trail is a shiny, silver stripe but hidden within my humble trail, Is something that could make you wail  For deep in my coil, unseen and frail Lies a home, a shield, or a veil Some say I gather my house as I crawl Others call me ""puž"", giving me a drawl  But despite my burdens that I haul I am adored, loved by all and though I may seem slow and frail I'll always have my precious shell."
mistake,"['a mistake', 'accident', 'anger a person', 'error']"," I am often made in haste An unfortunate thing to take place I can anger a person, that's no lie For I am a mistake, like a mistake."
rubber ducky,[]," I am a bath time friend, Yellow and round until the end. I squeak and float with such delight, but beware, I could cause a fright.  I may seem innocent, but don't be fooled, my counterpart is often drooled."
guillotine,[]," I am a tool of death, sharp and swift, My name derived from a Frenchman's gift, With a single chop, I'll end your life, but to some, I bring an end to strife.  With a heavy weight and a rope so fine, My executioner's job is not benign.  Some call me cruel, call me mean, but without me, a gruesome hour."
A window.,[]," It gives light but has no sunshine, It's clear yet holds a view divine, A frame for the world but no door, A gateway to outside and more, What am I, this pane with a view? A portal for dreams to come true. "
sliver,"['divide', 'splinter']"," I am a fraction of a whole, Divided and separated, I stroll, A mere sliver of what used to be, A small splinter, yet still visually appealing to see."
sponge,"['erase', 'delete']"," My touch is gentle, my impact small But I can make marks disappear, one and all Though I may seem soft and round I have the power to erase, with a simple sound What am I, that can wipe a slate clean And leave no trace of what has been?"
mailbox,"['a container for letters', 'a post office', 'an apartment complex', 'get your mail', 'post box', 'receiving letters', 'receiving mail', 'send letters', 'sending packages']","  ""I am found in front of your door, a container for letters galore. A post office in miniature, where messages come and depart for sure.  Sometimes I stand alone, just like an apartment complex."
anchor,['hook'],"I am the steadfast and unyielding anchor, a sailor's rock. I hold steady, keeping you in place, without me, the ocean would be your endless chase. ́"
